,,Dev Info,,,,,Other DevInfo sources,,,,G-Econ,,,DHS (Equity),,,MICS (Equity),,,National Statistics Institute,,,,SEDAC / CIESIN,,,,OECD,,,,OPHI,,,,HarvestChoice,,,,NBER,,,,DHS (Open Aid Partnership),,,,DHS,,,
Azerbaijan,311,no DevInfo,,,,,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,,,,,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,AzerbaijanPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/impjijo5lvhejo4u0g278a0g025btngg/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9Mbd1d3THZIZThFOW8?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Bahamas,108,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,144,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,550,English,BDInfo_2012_en.csv,http://www.devinfo.org/bdinfo/libraries/aspx/Home.aspx,http://www.devinfo.org/bdinfo/stock/data/CSV_DataFiles/BDInfo_2012_en.zip,http://www.devinfo.org/articles/news,TIBInfo_2011_en.csv,http://www.devinfo.org/tibinfo/libraries/aspx/Home.aspx,http://www.devinfo.org/tibinfo/stock/data/CSV_DataFiles/TIBInfo_2011_en.zip,,Bangladesh_Calc_Qa_050605.xls,http://gecon.yale.edu/bangladesh,http://gecon.yale.edu/sites/default/files/Bangladesh_Calc_Qa_050605.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,"BGD_sae_csv.csv
BangladeshCaseStudy.csv
imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download

http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","n/a

http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Bangladesh-pov-ADM1.xls
BangladeshPopADM2.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-0g-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/dghs7lcuhvi1t9iorq394aqa3fl19osi/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbLTZONVVzamw3aTA?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0k-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/6phtlb7l1jvqolqa73iuj2vqqnnmnn48/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbU1F5dkJDOFNGemM?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Barbados,109,no DevInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,294,no DevInfo,,,,,,,,,,,,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,,,,,,,,,,,,,,,,,,"Belarus-pov-adm1-2004.xls
BelarusPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-0s-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/o2j6an4pjv7plfbbnijn5itp9tq1g1eo/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbRlpGbmExcms3QTA?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0c-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/ul7nl6oecck2an6iodu5ncmipr2hnmqc/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbdFBpcEI3UFAtTVU?h=07874974558453865051&e=download, ",,,,,
Belgium,279,no DevInfo,,,,,,,,,Europe_cal_xi_101309.xls,http://gecon.yale.edu/belgium,http://gecon.yale.edu/sites/default/files/Europe_cal_xi_101309_0.xls,,,,,,,,,,,,,,,OECD metropolitan areas.xls,http://stats.oecd.org/#,http://stats.oecd.org/FileView2.aspx?IDFile=00fa8a34-d432-4aff-aad4-b0924ff0c89e,http://www.oecd.org/std/theoecdstatisticsnewsletter-allissues.htm,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,,,,,,,,
Belize,156,no DevInfo,,,,,,,,,,,,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,BelizePopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-04-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/8demolqpat1q7rkieqb139blt543rose/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbSDR3OVVxeVFsQ1k?h=07874974558453865051&e=download, ",,,,,
Benin,391,no DevInfo,,,,,,,,,,,,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,"imr_highres.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-infant-mortality-rates/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/imr_tabular.zip
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,"TPOV_PT125.csv
TPOV_PT200.csv","http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-125day-percent-2005
http://harvestchoice.org/data/poverty-headcount-ratio-below-05-ppp-200day-percent-2005","http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT125_2.zip
http://harvestchoice.org/sites/default/files/downloads/data/TPOV_PT200_2.zip",https://www.facebook.com/harvestchoice,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"BeninPovertyADM1.csv
BeninPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-0k-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/5dcrr53s23gulmkfe9ju7m08rlnhlqej/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbN0dEX2J6RTBoQTA?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0g-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/q9mc4o2m8do9785ec6fma3u9tohmivkg/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbWUg2NDFlX05Tb2c?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Bhutan,190,English,BhutanInfo _2012_en.csv,http://www.devinfo.org/bhutaninfo/libraries/aspx/Home.aspx,http://www.devinfo.org/bhutaninfo/stock/data/CSV_DataFiles/BhutanInfo%20_2012_en.zip,http://www.devinfo.org/articles/news,,,,,,,,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,,,,,,,,,,,,,,,,,,"Bhutan_Poverty_Adm1_2007.xlsx
BhutanPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-08-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/acha7u6i70dpukl0g1setrmf577q9u09/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbYzBLMDdSTTI3WDA?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-0g-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/o2ti7s97pcdob8tia1jk2fkfk5s2tss2/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbTWxlMU1oc3ZaSE0?h=07874974558453865051&e=download, ",,,,,
Bolivia,365,no DevInfo,,,,,,,,,Bolivia_Calc_Da_061605.xls,http://gecon.yale.edu/bolivia,http://gecon.yale.edu/sites/default/files/Bolivia_Calc_Da_061605.xls,"Mortality rates (DHS) for Gapminder.xlsx
Fertility rates (DHS) for Gapminder.xlsx
Equity (DHS and MICS) for Gapminder.xlsx",https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,,,,,,,"BOL_sae_csv.csv
hunger_data.csv","http://sedac.ciesin.columbia.edu/data/set/povmap-small-area-estimates-poverty-inequality/data-download
http://sedac.ciesin.columbia.edu/data/set/povmap-global-subnational-prevalence-child-malnutrition/data-download","n/a
http://sedac.ciesin.columbia.edu/povmap/downloads/ds_global/hunger_tabular.zip",https://www.facebook.com/socioeconomicdataandappsctr,,,,,Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx,http://www.ophi.org.uk/multidimensional-poverty-index/mpi-data-bank/mpi-data/,http://www.ophi.org.uk/wp-content/uploads/Tables_3_SubNational_Decomposition_2012_MPI_13_Mar_14_2013.xlsx?7ff332,https://www.facebook.com/pages/OPHI-Oxford-Poverty-and-Human-Development-Initiative/206436442734224,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,"Bolivia-pov-ADM1.xls
BoliviaPopADM1.xlsx","https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing","https://doc-00-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/88p6qjob69pnfvqi1724v2ertq6afi6c/1381154400000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbQUliMkhLb3B5WjA?h=07874974558453865051&e=download, https://drive.google.com/a/gapminder.org/folderview?id=0B0HB08a-a9MbQmwxTHBnVTRKUmc&usp=sharing
https://doc-10-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/r78bss6582d6rr6et0clmolkecaf45l1/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbWkt0aXM5VFhvRTA?h=07874974558453865051&e=download, ",,,http://spatialdata.measuredhs.com/data.html,,
Bosnia and Herzegovina,246,no DevInfo,,,,,,,,,,,,,,,Equity (DHS and MICS) for Gapminder.xlsx,https://www.dropbox.com/sh/e7oqw6huu5k215m/c0qsUbRg5r,,,http://www.scb.se/,,,,,,,,,,,,,,,,,,,regions_data_web_july2012.xls,http://scholar.harvard.edu/shleifer/publications/human-capital-and-regional-development,http://scholar.harvard.edu/files/shleifer/files/regions_data_web_july2012.xls,,BiHPopADM1.xlsx,https://drive.google.com/folderview?id=0B0HB08a-a9MbRDFTdWNSLTZHV1k&usp=sharing,"https://doc-14-5s-docs.googleusercontent.com/docs/securesc/mnkm5o6ci0jo1v323dbllpqncl508u5r/gk7vpnm4hrdao3ljcusr0ffmg5l5tj8v/1381219200000/17069385315282184580/17069385315282184580/0B0HB08a-a9MbS2VpY2F2SjhwS28?h=07874974558453865051&e=download, ",,,,,
